RWJC_x;RWJC_y;RWJC_z;REJC_x;REJC_y;REJC_z;RGHJC_x;RGHJC_y;RGHJC_z
0.0000;0.0000;0.0000;45.7313;100.0163;218.8790;747.8443;-106.5004;899.4336
0.0401;0.0765;0.1474;45.8786;100.3453;218.9264;747.4177;-107.5686;899.6354
0.0401;0.1236;0.3013;45.9786;100.6724;218.9702;747.1274;-108.7151;899.6386
0.0401;0.1236;0.4944;46.0854;101.0263;219.0102;746.7291;-109.8841;899.6386
0.0093;0.1236;0.7312;46.1944;101.3872;219.0339;746.3495;-111.1991;899.6354
-0.0628;0.0432;0.9977;46.2695;101.7492;219.0353;746.1290;-112.6595;899.4515
-0.1758;-0.0776;1.3287;46.3061;102.1404;219.0706;745.9532;-114.6577;899.0575
-0.3412;-0.2611;1.6995;46.3061;102.5492;219.1119;745.9532;-117.4977;898.1254
-0.5730;-0.5256;2.1756;46.3061;102.9511;219.1795;745.9532;-120.5944;896.9011
-0.9267;-0.9166;2.7414;46.1665;103.3403;219.2738;746.2052;-123.6018;895.4890
-1.4209;-1.4462;3.4562;45.8896;103.7154;219.3726;746.7590;-126.8777;893.5346
-1.9677;-2.3770;4.1507;45.4661;104.0763;219.5164;747.6359;-130.2455;891.1122
-2.7626;-3.5169;5.0620;44.8791;104.3818;219.6775;748.9335;-133.4962;888.1527
-3.8294;-5.0013;6.2078;44.1019;104.6009;219.8357;750.4567;-136.3170;884.8939
-5.1997;-6.8627;7.6238;43.1237;104.6765;220.0541;752.2387;-138.6310;881.3807
-6.9278;-9.1536;9.3018;41.9881;104.6765;220.2873;753.8162;-140.1215;878.1686
-9.0189;-11.9250;11.2595;40.5872;104.6765;220.5017;755.6545;-140.4878;874.6734
-11.4563;-15.2088;13.5090;38.9139;104.3107;220.7215;757.9873;-140.5135;870.7832
-14.3261;-19.1092;16.2040;37.0019;103.7075;220.9890;760.4997;-140.5608;866.5286
-17.5539;-23.5557;19.2055;34.8725;102.8125;221.2524;763.0672;-140.5608;861.8881
-21.1335;-28.6113;22.6097;32.5879;101.6241;221.5710;765.7463;-140.5608;857.0226
-25.0543;-34.2259;26.3904;30.1124;100.1489;222.0032;768.7203;-140.5608;851.6444
-29.3131;-40.4250;30.5564;27.4034;98.3204;222.4321;771.9912;-140.5608;845.8391
-33.8734;-47.1702;35.1495;24.5070;96.1129;222.8769;775.1590;-140.3522;840.0479
-38.7120;-54.5411;40.1202;21.3534;93.4313;223.3227;778.4311;-139.3634;834.0124
-43.8128;-62.4495;45.6296;17.9703;90.2717;223.7422;781.8194;-137.6427;827.8209
-49.2076;-70.9465;51.6687;14.5134;86.8779;224.3484;785.2012;-136.7179;821.3689
-54.7880;-79.9925;58.2285;10.9054;83.0434;224.9850;788.8110;-135.4817;814.5664
-60.5414;-89.5195;65.3339;7.0857;78.7854;225.7201;792.5596;-134.3283;807.2856
-66.3849;-99.4420;73.0035;3.1240;74.1600;226.6135;796.3753;-132.6309;799.9260
-72.2673;-109.6986;81.1592;-0.9895;69.1293;227.6549;800.0730;-130.7484;792.5428
-78.1408;-120.2171;89.8258;-5.1640;63.6652;228.7873;803.3348;-128.0458;785.7458
-83.9511;-131.0239;98.9517;-9.3589;57.8480;230.0971;806.5032;-124.5905;779.3243
-89.6680;-141.9949;108.6256;-13.6928;51.5196;231.5260;809.6234;-120.3452;772.8385
-95.2454;-153.0547;118.6880;-17.9918;44.8578;233.0335;812.2565;-115.3441;766.9566
-100.6729;-164.1954;129.1971;-22.1831;37.8322;235.0266;815.3863;-111.6977;760.5316
-105.9365;-175.3520;140.0420;-26.4488;30.5637;237.2269;818.4227;-108.3636;753.8475
-111.0366;-186.4750;151.2577;-30.7290;23.0280;239.5658;821.1452;-105.8796;747.0970
-115.9423;-197.5573;162.7748;-34.7704;15.3884;242.4937;824.3974;-103.0255;740.4374
-120.6233;-208.5127;174.5510;-38.9454;7.3754;245.6015;827.8640;-99.6081;732.9639
-125.0722;-219.3461;186.5451;-43.0101;-0.8665;248.9236;831.0605;-96.4029;725.7376
-129.3032;-229.9913;198.8355;-46.8141;-9.2143;252.6665;834.4808;-93.2079;718.6247
-133.2587;-240.4794;211.2513;-50.6417;-17.7774;256.6217;837.8798;-90.6454;711.0138
-136.9727;-250.7548;223.7729;-54.1954;-26.3935;260.7397;840.3804;-88.5661;704.9743
-140.3928;-260.7579;236.3882;-57.5747;-35.1072;265.2362;843.5910;-85.9335;698.0030
-143.5749;-270.4921;249.0787;-60.8221;-43.7735;270.0417;846.6103;-85.3911;691.3455
-146.4543;-279.9714;261.7765;-63.9705;-52.5711;274.7911;848.7129;-83.0582;685.6256
-149.0141;-289.1814;274.3724;-66.7931;-61.4241;279.9117;850.8310;-80.0833;680.3742
-151.3050;-298.1278;286.8609;-69.4474;-70.2735;285.2004;852.7339;-76.3798;675.2880
-153.3313;-306.8067;299.1959;-71.9198;-79.0603;290.6015;854.3863;-70.7317;670.2954
-155.0720;-315.2319;311.2282;-74.1735;-87.7762;296.3194;856.2027;-64.8716;665.1008
-156.5408;-323.2910;323.0628;-76.2160;-96.1641;302.2809;858.0023;-59.9395;660.0364
-157.7176;-331.2933;334.4130;-78.1135;-104.3131;308.4062;859.9564;-54.4668;654.2055
-158.7907;-338.7532;345.7667;-79.8867;-112.1087;314.6404;862.0809;-49.5903;647.6761
-159.5388;-346.0577;356.6867;-81.4441;-119.6775;320.9414;864.1958;-44.6373;640.8436
-160.0579;-353.0990;367.1387;-82.7880;-126.9104;327.3119;866.3047;-38.9431;633.4957
-160.3719;-359.8321;377.2514;-83.9584;-133.8505;333.6411;868.0440;-32.5153;626.2334
-160.3719;-366.2796;386.8800;-84.9118;-140.5070;339.9436;869.5203;-25.2883;618.9303
-160.3719;-372.5292;395.9976;-85.6465;-146.7989;346.1607;870.6757;-17.7687;612.0035
-160.2967;-378.5040;404.7262;-86.1954;-152.8332;352.3521;871.7198;-9.6108;604.6721
-159.9501;-384.2294;412.8611;-86.6114;-158.6010;358.4176;872.6399;-2.2983;597.3940
-159.4715;-389.6409;420.5352;-86.8559;-164.0819;364.3503;873.3919;5.1145;589.9412
-158.9034;-394.8203;427.7878;-86.8559;-169.2809;370.1524;874.0409;12.1897;582.3194
-158.3014;-399.7588;434.5432;-86.8559;-174.2256;375.8157;874.6428;18.9542;574.5723
-157.6232;-404.3741;440.9045;-86.7286;-178.8950;381.1676;874.9648;25.3820;567.5852
-156.9164;-408.8323;446.7357;-86.4272;-183.2842;386.3522;875.2691;31.2638;560.7736
-156.1948;-413.0574;452.0533;-86.0131;-187.3772;391.2586;875.2691;37.1867;554.3458
-155.4615;-417.1208;456.9412;-85.5174;-191.2300;395.9346;875.2691;43.2646;548.0243
-154.7318;-421.0096;461.3420;-84.9168;-194.8883;400.3514;874.8794;49.8783;542.3347
-153.9610;-424.7071;465.3074;-84.2865;-198.3538;404.5525;874.3771;56.1917;536.6657
-153.1356;-428.1263;468.9605;-83.5871;-201.5515;408.4226;873.8774;61.9938;531.4629
-152.3347;-431.3457;472.2027;-82.9073;-204.5246;412.0511;873.2554;67.4885;526.6058
-151.4012;-434.4465;475.1025;-82.2294;-207.2936;415.4312;872.6881;72.4357;521.7830
-150.3411;-437.2466;477.7677;-81.5736;-209.8593;418.5207;871.9497;77.3624;517.0863
-149.3409;-439.9607;480.0774;-80.9053;-212.2316;421.2932;871.0464;82.4531;512.5055
-148.3321;-442.4314;482.1706;-80.2197;-214.4017;423.8468;870.0767;87.6777;508.0161
-147.2840;-444.7457;483.9650;-79.5382;-216.3941;426.1350;869.1057;92.6075;503.9461
-146.2159;-446.8794;485.4972;-78.8287;-218.2599;428.1558;867.9553;97.7855;500.3076
-145.1806;-448.8566;486.8358;-78.1136;-219.9962;429.8284;866.5686;103.3427;496.7649
-144.1439;-450.7077;487.9063;-77.3735;-221.5914;431.3347;865.5182;107.7693;494.1853
-143.1169;-452.4212;488.8044;-76.6669;-223.0287;432.6574;864.7215;111.4250;491.6036
-142.1112;-453.9591;489.5768;-75.9781;-224.3659;433.7827;863.9699;114.6940;489.3715
-141.1584;-455.4784;490.1472;-75.3067;-225.5863;434.7968;863.2894;117.6726;487.5696
-140.2108;-456.7569;490.6972;-74.6443;-226.6823;435.6277;862.4945;120.8417;485.9814
-139.2776;-458.0229;491.0632;-74.0327;-227.6947;436.3759;861.7277;123.8701;484.1719
-138.4022;-459.1620;491.3747;-73.4011;-228.6260;436.9685;860.7910;127.3399;482.5052
-137.5258;-460.2267;491.6514;-72.8140;-229.4936;437.5001;859.9082;130.6045;480.8049
-136.6435;-461.2327;491.8084;-72.2745;-230.2876;437.9414;859.0170;133.7156;479.3812
-135.8322;-462.1340;491.8976;-71.7398;-230.9647;438.2393;857.9091;137.2818;478.2664
-134.9932;-462.9627;491.9524;-71.2339;-231.5983;438.5348;856.9652;140.3862;477.3026
-134.2047;-463.6902;491.9627;-70.7410;-232.1490;438.7454;856.1714;143.0832;476.6711
-133.3754;-464.4307;491.9670;-70.3176;-232.6168;438.9305;855.7576;144.7795;476.2592
-132.5272;-465.0594;491.9670;-69.9405;-233.0171;439.1285;855.6421;145.9921;475.4363
-131.7048;-465.6200;491.9627;-69.6036;-233.3421;439.3360;855.5763;146.6536;474.7002
-130.8361;-466.1271;491.9591;-69.3501;-233.5474;439.5438;855.5522;147.6494;473.3633
-129.9752;-466.5906;491.9331;-69.1431;-233.6671;439.7324;855.1631;149.3203;471.4946
-129.1758;-466.9970;491.8674;-68.9445;-233.6671;439.8751;854.5626;151.4563;469.6290
-128.3866;-467.3186;491.7424;-68.7906;-233.6671;440.0092;853.9377;153.6163;467.7169
-127.5944;-467.5640;491.5456;-68.6863;-233.5040;440.1103;853.3807;155.5707;465.7327
-126.8118;-467.6737;491.2251;-68.6196;-233.2446;440.1691;853.0213;156.9670;464.1462
-126.1050;-467.6119;490.6129;-68.6421;-232.8702;440.1468;852.5064;158.5791;462.0846
